commit	author_timestamp	author	subject
e625c809f8cf7515f0143fab476bb4467d2fe1d7	2026-09-12T17:53:16Z	github-actions[bot]	fix: synchronize percentage entry wheel and drag in v1.13.1
099eb7bbf3c0d2d7d0e17c0878a51f212cdd2d08	2026-09-13T01:48:51+08:00	Hona-Cao	ci: build v1.13.1 from committed product source
ef7951fd51821d79c06c5408a9b7da0f1723594b	2026-09-13T01:48:09+08:00	Hona-Cao	fix: keep percentage editing synchronized with wheel and drag [skip ci]
99f0916ea060b2aa93efa1ec02b9bdcf0d485480	2026-09-12T17:47:31Z	github-actions[bot]	fix: v1.13.1 mobile gestures precise percentages and window lifecycle
2504f2917e3b0fde5dfda3d811e64afa5527fc22	2026-09-13T01:32:12+08:00	Hona-Cao	ci: build and package FlyPPTTimer v1.13.1
9213a0a1375dfcbd4ed831ba2bdf3f21c8b57053	2026-09-13T01:31:22+08:00	Hona-Cao	fix: prepare v1.13.1 interactions and product metadata [skip ci]
ab2978f3b3a1a2eee6da818df2385c1122874502	2026-09-13T01:20:13+08:00	Hona-Cao	ci: prepare v1.13.1 from accepted RC3.4 source
ea123cda7f2e73778c2c1a3a5b04839fbd3afae4	2026-09-12T16:51:21Z	github-actions[bot]	feat: RC3.4 percentage previews dark theme and editing usability
f9f276ee7975e91392332ee4f8452664cab64bcc	2026-09-13T00:41:04+08:00	Hona-Cao	ci: wait for GUI capture processes and retain compiled cache before capture
20b73edbbd57dfe57fa62c9812bd6269da7959fd	2026-09-13T00:40:25+08:00	Hona-Cao	test: include bottom percentage controls in RC34 captures [skip ci]
acef6ea187e35263f5b1789b4c448b1c2bbe8921	2026-09-13T00:23:33+08:00	Hona-Cao	fix: reuse system-theme translation and align Remote capture state
6b0d9a9f8dbcde77db1913d14e06d8a7485b1b7e	2026-09-13T00:16:59+08:00	Hona-Cao	ci: validate and package RC3.4 usability and dark theme build
9ae2e3c5a8087998e2954273d3f73efb1ccd6763	2026-09-13T00:16:31+08:00	Hona-Cao	build: apply RC3.4 reviewed source changes [skip ci]
e8d22fbaab4222086fb48ed07ef5e2d1947cf96d	2026-09-13T00:16:24+08:00	Hona-Cao	build: stage RC3.4 user feedback changes 3/3 [skip ci]
dc06c1f5187b22f50259da73a89f47505e297f6e	2026-09-13T00:15:45+08:00	Hona-Cao	build: stage RC3.4 user feedback changes 2/3 [skip ci]
d98255019926d8dc97ca7e3eca5f1ff6d6b1acbc	2026-09-13T00:14:49+08:00	Hona-Cao	build: stage RC3.4 user feedback changes 1/3 [skip ci]
c32acd91285d8f3272c8a6208eccfdac268d3266	2026-09-13T00:06:42+08:00	Hona-Cao	ci: prepare RC3.4 source workspace from tested RC3.3.1
19bd8d13e98851223a8290cb052b9de4f8e4a09f	2026-09-12T15:20:48Z	github-actions[bot]	fix: stabilize first remote scan and restore modern PPT picker
ae3a34b60e257319490bfc9b76dfb7c3557be2d2	2026-09-12T23:06:51+08:00	Hona-Cao	ci: fix Windows checkout line endings and run RC331 on pinned Rust
27c18362b163b2286e0a160933cf5594b9a8ebd2	2026-09-12T23:06:14+08:00	Hona-Cao	fix: share the real PPT filter and convert the native dialog owner [skip ci]
9f41176023bc22c5104d1d82d34e9cc25bf3ed27	2026-09-12T20:34:49+08:00	Hona-Cao	ci: fix modern picker bindings for windows 0.62
220f6f4c1b1ab33b02a7cb8c8bf17a730f575d8d	2026-09-12T20:33:05+08:00	Hona-Cao	ci: apply RC3.3.1 source refinement robustly
60fa0f3242970f47b08a1061dc96dbdab9687525	2026-09-12T20:32:42+08:00	Hona-Cao	ci: add robust RC3.3.1 source refinement
360dd34be90dd684f965d8e961a3537e595dd884	2026-09-12T20:31:30+08:00	Hona-Cao	ci: verify RC3.3.1 remote startup and modern picker
99ffd66a0eb1498c0a552f1bad97b3d80f39fef5	2026-09-12T20:31:02+08:00	Hona-Cao	test: stage RC3.3.1 remote and modern file picker patch
298d74772b8fdc879e397239f1abe1bb0bdd753b	2026-09-12T11:58:32Z	github-actions[bot]	fix: RC3.3 concurrent windows color picking and stable remote snapshots
b6f3543f1c30921d3ceb2f10cebcf53f44ead9a1	2026-09-12T19:51:57+08:00	Hona-Cao	ci: preserve LF when applying Windows review refinements
58de843d0a55afd897d5180d8b2e31d6f5889404	2026-09-12T19:47:57+08:00	Hona-Cao	fix: enforce scroll gutters with layout padding after rendered review
70deec8659a9db90a614e60af018abae74d64faf	2026-09-12T19:45:11+08:00	Hona-Cao	fix: keep all app icons branded and fit compact English actions
7a0d4f3a34040d6896586a51b99bae95b5e240d7	2026-09-12T19:32:20+08:00	Hona-Cao	ci: preserve Win32 icon resource identifiers and export review evidence
